I think you are now ready., neg,1
ready to hear what happened two weeks ago., neg,1
Dear impatient optimists; dear pragmatic skeptics; dear dedicated detractors., pos,0.8
I choose to begin this review in perhaps the most declarative and divisive way possible; so buckle up for some hyperbolic blasphemy., pos,0.6
Enchanting., neg,1
Sprawling., neg,1
Overwhelming., neg,1
Groundbreaking., neg,1
Mind-blowing., neg,1
Masterpiece., neg,1
You see; whether or not you can possibly fathom it; when used to describe The Legend of Zelda: Breath of the Wild; these words are not an exaggeration., neg,1
This is a game which literally redefines our expectations of a genre; as well as possibly a franchise., pos,1
It goes places which no other game has gone; and it does so with such grace and fluency that it really never feels contrived or mechanical., neg,1
To the contrary; Breath of the Wild is so infinitely organic and alive; it's impossible not to get lost in the experience; the world., neg,1
And experience it you shall; in practically any way you see fit., neg,1
As has been constantly repeated in the past seven months of previews; Breath of the Wild deshackles you at a remarkably early stage in the game., pos,1
Directly in contrast to most previous entries in the series; the game tactfully employs what is a cleverly-obfuscated tutorial via the Great Plateau; a playground of sorts wherein the player acquires and learns to leverage the most basic of all his abilities., pos,0.6
Chief among these are the foundational runes., neg,1
Remarkably; and in shocking deviance from the Zelda template long embraced; it is solely these four abilities--along with the hang-glider; which is key to exploration--which will be used to solve practically every puzzle in the game., pos,1
For most players; roughly one single hour will have passed between the brief introductory sequence and the moment where they leap off the Great Plateau into the uncharted wilds beyond., neg,1
And it's at this point when the game ceases to hold hands and provides only marginal and quite conservative guidance where it's truly needed., neg,1
There is no path; no defined direction or order of operations., neg,1
Sequence-breaking does not apply; because there truly is no sequence to begin with., neg,1
The final encounter with Calamity Ganon--the great evil which destroyed the world 100 years ago; and which remains the terrifying antagonist against which Link battles in Breath of the Wild--can be invoked within the first couple hours of play if desired., pos,1
Naturally; it would be nearly impossible to succeed at this point; but the sheer fact that the game allows it is indicative of its near-boundless open-endedness; its intentional lack of ordinal structure; its sense of malleability and mystery., pos,1
Nintendo has said that this was a conscious effort from the very beginning of Breath of the Wild's development; partially in an effort to rekindle sentiments introduced by the original 1986 Legend of Zelda NES progenitor; which also provided zero direction to the player., neg,1
In that game; the player was encouraged--silently implored--to head off; cautiously; in whichever direction they chose; in search of dungeons; hidden caves; cryptic secrets., pos,0.6
a path forward; somehow., neg,1
And that is exactly--to a tee--how Breath of the Wild feels., neg,1
At the start; Link awakens--as he always does--but it's what follows that's so unique., pos,1
After a couple of short minutes of gathering oneself and picking up your Sheikah Slate (the critical companion item which Link will use for various purposes throughout the adventure; serving as everything from a map to a digital form of binoculars); Link walks out to the edge of a cliff; the camera pans around him for 10 or so seconds; the Breath of the Wild logo and melody fade in; and the game begins., neg,1
There is no orientation and no tutorial--at least; not which is obvious to the player., neg,1
Open-world 2 point 0., neg,1
But there is so much more to what makes this game what it is., neg,1
A primary struggle of all open-world games is to produce a world which the player wants to explore; where traversal and exploration itself is the reward as well as the challenge., pos,1
The most cumbersome byproducts of the creation of such sprawling and seemingly endless game worlds are A) boredom and a tendency to become stale; and B) a sense of algorithmic or mechanical artificiality., neg,1
Both of these side effects are devilishly pervasive stumbling blocks for developers seeking to undertake this challenge; and both of them can be absolutely fatal to the finished product., neg,1
Breath of the Wild; however; attacks this endemic challenge with balance and complexity., neg,1
And the secret to its success is a living; breathing world that is among the most convincing we have ever experienced in gaming., pos,0.6
What Nintendo has created is an extremely realistic environment; the appeal of which is fundamentally in just that: its incessantly natural feel., pos,1
Hours pass (one real-world second per game minute); weather evolves; winds shift; fire spreads; animals and NPCs conduct themselves with amazingly lifelike behavior., neg,0.8
All of this may sound mundane and commonplace in terms of 2017 open-world game design; but rest assured; while it's been attempted and accomplished to some degree; it's never been perfected to the extent which Zelda manages., pos,0.8
This is best evidenced by the sheer joy of simply traversing Breath of the Wild's world., pos,1
The player could easily walk for what seems like an eternity and never run out of things to see or do., neg,1
Enemy encampments; perplexing geologic features; enchanting landscapes; hidden treasures; shrines; villages; rumors; mysteries; Korok seed puzzles., pos,0.6
the game is truly packed with activity., pos,1
But even in those necessary expanses of quiet nothingness; where Link can walk and climb for an extended stretch of time with minimal interruption from anything other than wildlife and topological challenges; the game world is so alive and so credible that it renders the journey exciting., pos,1
In fact; it's so good; subsequent trips along the same path don't even feel the same., neg,1
Different NPCs walk the same roads at different times of day; and all of them have something unique to say to Link., pos,1
Their dialogue changes to (smoothly!), neg,1
incorporate commentary regarding current events; such as the weather; the time of day; and even what Link happens to be holding or wearing--it's unexpectedly detailed., pos,1
Some of them peddle commodities and rare goods; some give directions or provide tips; and others might hint at the location of a forgotten treasure., pos,1
On top of that; the weather system constantly keeps the player on his or her toes; too., neg,1
It might be raining one trip; which makes visibility difficult and climbing tall structures nearly impossible (thanks to slippery surfaces)--but the next time around; it's sunny and clear., neg,1
Time of day also greatly influences the mood and strategy of a given expedition; as the undead rise to attack during the nights (not annoyingly often; but enough to render it more dangerous); while bokoblins and other antagonists take the opportunity to sleep--so you can sneak by; or sneak up., neg,1
So; then; you might be wondering; how in the world does Breath of the Wild truly structure itself?, neg,1
Subtly; deliberately; carefully., neg,1
While the world is indeed a playground and practically any path is possible; the game does silently direct you along a series of hidden; ambiguous paths to try and manage frustration and the overall experience for the average player., pos,0.6
By this; I mean that; while the game does allow complete freedom of exploration and pathfinding; it also heavily yet silently suggests particular locations as the most optimal next destination by way of such devices as challenge., neg,1
Since no longer are any areas gated off until Link acquires a particular item (as in previous Zelda titles); this approach was necessary., neg,1
It's obvious as soon as you venture into the wrong area: enemies are inherently far stronger; with much more vitality; better weaponry; more complex attack patterns; and longer lines of sight., neg,1
Some attack from horseback; others fire electric shock arrows from a half mile away., neg,1
But if you choose to attempt to progress through this perilous land anyway; do you have that choice?, neg,1
Absolutely you do; and it will likely earn you some powerful equipment for this stage in the game if you persist., pos,1
Risk/reward is a real phenomenon in Breath of the Wild., pos,0.6
Another item of interest on the topic of navigation and direction is that of progression through the adventure., pos,0.8
While previous Zelda games have always (closely enough) followed the typical find first dungeon - dungeon - item - find next dungeon - dungeon - item - and so on formula; Breath of the Wild dispenses with that entirely., neg,1
While there are traditional dungeons in the game (roughly half which is normally expected from a Zelda game--more on that later); these dungeons can be located and completed in any order in BotW., neg,1
And while the focus and highlights of previous Zelda titles has long been the dungeons; Breath of the Wild's aren't even necessary to complete the game., neg,1
Instead; their traversal merely provides a serious advantage to Link during his final assault on Hyrule Castle and Ganon--along with some supplemental bonuses in lieu of conventional Zelda items., neg,1
